ts,type,ok,tx_log_lines
2025-11-12T22:08:30.0235262Z,bootstrap,true,0
2025-11-12T22:09:05.9596146Z,bootstrap,true,0
2025-11-12T22:10:56.8519778Z,bootstrap,true,0
2025-11-12T22:13:06.4911280Z,bootstrap,true,0
2025-11-12T22:14:29.1988833Z,bootstrap,true,0
2025-11-12T22:23:32.2219824Z,bootstrap,true,0
2025-11-12T22:25:18.5232395Z,bootstrap,true,0
2025-11-12T22:26:46.1317140Z,bootstrap,true,0
2025-11-12T22:28:22.5998257Z,bootstrap,true,0
2025-11-12T22:34:43.0059380Z,bootstrap,true,0
2025-11-12T22:36:04.8897904Z,bootstrap,true,0
2025-11-12T22:36:37.4702602Z,bootstrap,true,0
2025-11-12T22:38:04.9762935Z,bootstrap,true,0
2025-11-12T22:38:55.0238188Z,bootstrap,true,0
2025-11-12T22:39:51.8665563Z,bootstrap,true,0
2025-11-12T22:40:15.7086739Z,bootstrap,true,0
2025-11-12T22:56:52.1010397Z,bootstrap,true,5
