"PoolCOL","AmountOut","Direction","PoolCOPX","AmountIn"
"972186.0720950292756950264646","847.3018342478575584429200","CPX->COL","822887.7402820903362033311489","2000"
"969828.936633754","2357.135461275233","CPX->COL","824887.74028209038","2000"
"971328.936633754","1273.8543697784189","COL->CPX","823613.885912312","1500"
"967803.727513071","3525.2091206830228","CPX->COL","826613.885912312","3000"
"968803.727513071","853.23152919136919","COL->CPX","825760.65438312059","1000"
"966462.9452534091","2340.7822596619371","CPX->COL","827760.65438312059","2000"
"967962.9452534091","1282.73606718448","COL->CPX","826477.91831593611","1500"
"964462.08191318193","3500.8633402271662","CPX->COL","829477.91831593611","3000"
"965462.08191318193","859.15121251810342","COL->CPX","828618.767103418","1000"
,,,,
,,,,
,,,,
,,,,
